District,Region,Latitude,Longitude,ClusterLabel,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Central and Western,Hong Kong Island,22.28666,114.15496999999999,0,Japanese Restaurant,French Restaurant,Café,Italian Restaurant,Hotel,Cocktail Bar,Coffee Shop,Gym / Fitness Center,Thai Restaurant,Yoga Studio
Eastern,Hong Kong Island,22.284110000000002,114.22413999999999,0,Café,Japanese Restaurant,Chinese Restaurant,Coffee Shop,Park,Department Store,Noodle House,Seafood Restaurant,French Restaurant,Shopping Mall
Southern,Hong Kong Island,22.24725,114.15883999999998,0,Chinese Restaurant,Furniture / Home Store,Café,Park,Restaurant,Thai Restaurant,Coffee Shop,Fast Food Restaurant,Vietnamese Restaurant,Trail
Wan Chai,Hong Kong Island,22.27968,114.17168000000001,0,Hotel,Café,Coffee Shop,Italian Restaurant,Chinese Restaurant,Cantonese Restaurant,Szechuan Restaurant,Burger Joint,Seafood Restaurant,Snack Place
Sham Shui Po,Kowloon,22.33074,114.1622,0,Noodle House,Chinese Restaurant,Dessert Shop,Hong Kong Restaurant,Cha Chaan Teng,Café,Dim Sum Restaurant,Coffee Shop,Malay Restaurant,Italian Restaurant
Kowloon City,Kowloon,22.3282,114.19155,0,Coffee Shop,Dessert Shop,Thai Restaurant,Chinese Restaurant,Café,Fast Food Restaurant,Hotel,Cha Chaan Teng,Noodle House,Asian Restaurant
Kwun Tong,Kowloon,22.31326,114.22581000000001,0,Chinese Restaurant,Coffee Shop,Park,Cha Chaan Teng,Café,Hong Kong Restaurant,Hotel,Noodle House,Shopping Mall,Hakka Restaurant
Wong Tai Sin,Kowloon,22.33353,114.19686000000002,0,Dessert Shop,Coffee Shop,Thai Restaurant,Chinese Restaurant,Fast Food Restaurant,Café,Cha Chaan Teng,Noodle House,Asian Restaurant,Cantonese Restaurant
Yau Tsim Mong,Kowloon,22.321379999999998,114.1726,0,Coffee Shop,Noodle House,Cha Chaan Teng,Dim Sum Restaurant,Hotel,Hong Kong Restaurant,Beer Bar,Cantonese Restaurant,Dumpling Restaurant,Toy / Game Store
Islands,New Territories,22.26114,113.94608000000001,1,Trail,Mountain,Zoo,Dumpling Restaurant,Flea Market,Fish Market,Fish & Chips Shop,Field,Fast Food Restaurant,Farmers Market
Kwai Tsing,New Territories,22.354879999999998,114.08401,2,Scenic Lookout,Bus Station,Café,Beach,Trail,Electronics Store,Fish Market,Fish & Chips Shop,Field,Fast Food Restaurant
North,New Territories,22.49471,114.13812,0,Fast Food Restaurant,Cantonese Restaurant,Chinese Restaurant,Coffee Shop,Noodle House,Burger Joint,Café,Shopping Mall,Metro Station,Cha Chaan Teng
Sai Kung,New Territories,22.381429999999998,114.27051999999999,0,Seafood Restaurant,Café,Thai Restaurant,Harbor / Marina,Dessert Shop,Burger Joint,Chinese Restaurant,Pub,Coffee Shop,Pizza Place
Sha Tin,New Territories,22.38715,114.19533999999999,0,Chinese Restaurant,Fast Food Restaurant,Café,Cantonese Restaurant,Shopping Mall,Coffee Shop,Hong Kong Restaurant,Train Station,Hotel,Dessert Shop
Tai Po,New Territories,22.45085,114.16422,0,Chinese Restaurant,Fast Food Restaurant,Shopping Mall,Cha Chaan Teng,Hong Kong Restaurant,Coffee Shop,Plaza,Bus Station,Athletics & Sports,Korean Restaurant
Tsuen Wan,New Territories,22.36281,114.12907,0,Chinese Restaurant,Fast Food Restaurant,Bus Stop,Shopping Mall,Café,Hong Kong Restaurant,Park,Cantonese Restaurant,Coffee Shop,Cha Chaan Teng
Tuen Mun,New Territories,22.39163,113.97708850000001,0,Seafood Restaurant,Fast Food Restaurant,Coffee Shop,Light Rail Station,Shopping Mall,Pizza Place,Multiplex,Cantonese Restaurant,Chinese Restaurant,Park
Yuen Long,New Territories,22.44559,114.02218,0,Chinese Restaurant,Noodle House,Fast Food Restaurant,Dessert Shop,Shopping Mall,Thai Restaurant,Coffee Shop,Market,Café,Light Rail Station
