District,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Central and Western,Japanese Restaurant,French Restaurant,Café,Italian Restaurant,Hotel,Cocktail Bar,Coffee Shop,Gym / Fitness Center,Thai Restaurant,Yoga Studio
Eastern,Café,Japanese Restaurant,Chinese Restaurant,Coffee Shop,Park,Department Store,Noodle House,Seafood Restaurant,French Restaurant,Shopping Mall
Southern,Chinese Restaurant,Furniture / Home Store,Café,Park,Restaurant,Thai Restaurant,Coffee Shop,Fast Food Restaurant,Vietnamese Restaurant,Trail
Wan Chai,Hotel,Café,Coffee Shop,Italian Restaurant,Chinese Restaurant,Cantonese Restaurant,Szechuan Restaurant,Burger Joint,Seafood Restaurant,Snack Place
Sham Shui Po,Noodle House,Chinese Restaurant,Dessert Shop,Hong Kong Restaurant,Cha Chaan Teng,Café,Dim Sum Restaurant,Coffee Shop,Malay Restaurant,Italian Restaurant
Kowloon City,Coffee Shop,Dessert Shop,Thai Restaurant,Chinese Restaurant,Café,Fast Food Restaurant,Hotel,Cha Chaan Teng,Noodle House,Asian Restaurant
Kwun Tong,Chinese Restaurant,Coffee Shop,Park,Cha Chaan Teng,Café,Hong Kong Restaurant,Hotel,Noodle House,Shopping Mall,Hakka Restaurant
Wong Tai Sin,Dessert Shop,Coffee Shop,Thai Restaurant,Chinese Restaurant,Fast Food Restaurant,Café,Cha Chaan Teng,Noodle House,Asian Restaurant,Cantonese Restaurant
Yau Tsim Mong,Coffee Shop,Noodle House,Cha Chaan Teng,Dim Sum Restaurant,Hotel,Hong Kong Restaurant,Beer Bar,Cantonese Restaurant,Dumpling Restaurant,Toy / Game Store
Islands,Trail,Mountain,Zoo,Dumpling Restaurant,Flea Market,Fish Market,Fish & Chips Shop,Field,Fast Food Restaurant,Farmers Market
Kwai Tsing,Scenic Lookout,Bus Station,Café,Beach,Trail,Electronics Store,Fish Market,Fish & Chips Shop,Field,Fast Food Restaurant
North,Fast Food Restaurant,Cantonese Restaurant,Chinese Restaurant,Coffee Shop,Noodle House,Burger Joint,Café,Shopping Mall,Metro Station,Cha Chaan Teng
Sai Kung,Seafood Restaurant,Café,Thai Restaurant,Harbor / Marina,Dessert Shop,Burger Joint,Chinese Restaurant,Pub,Coffee Shop,Pizza Place
Sha Tin,Chinese Restaurant,Fast Food Restaurant,Café,Cantonese Restaurant,Shopping Mall,Coffee Shop,Hong Kong Restaurant,Train Station,Hotel,Dessert Shop
Tai Po,Chinese Restaurant,Fast Food Restaurant,Shopping Mall,Cha Chaan Teng,Hong Kong Restaurant,Coffee Shop,Plaza,Bus Station,Athletics & Sports,Korean Restaurant
Tsuen Wan,Chinese Restaurant,Fast Food Restaurant,Bus Stop,Shopping Mall,Café,Hong Kong Restaurant,Park,Cantonese Restaurant,Coffee Shop,Cha Chaan Teng
Tuen Mun,Seafood Restaurant,Fast Food Restaurant,Coffee Shop,Light Rail Station,Shopping Mall,Pizza Place,Multiplex,Cantonese Restaurant,Chinese Restaurant,Park
Yuen Long,Chinese Restaurant,Noodle House,Fast Food Restaurant,Dessert Shop,Shopping Mall,Thai Restaurant,Coffee Shop,Market,Café,Light Rail Station
